Freq	S11_real	S11_imag	S21_real	S21_imag	S12_real	S12_imag	S22_real	S22_imag
13.48	-10.0666122	-65.2890709	-2.40502953	43.772772	-2.4049479	43.7725343	-10.1939212	-65.532129
13.5	-10.5674355	-67.4764727	-2.34328984	41.9144829	-2.34320865	41.9141664	-10.7020713	-67.7089756
13.52	-11.1184843	-69.756171	-2.28676979	40.0201193	-2.28669073	40.0197247	-11.2615078	-69.9780844
13.54	-11.7274967	-72.1412586	-2.23587055	38.090994	-2.23579528	38.0905239	-11.8802475	-72.3527404
13.56	-12.4040822	-74.6496993	-2.19099039	36.1286636	-2.1909205	36.1281225	-12.5682817	-74.8512534
13.58	-13.1604074	-77.3069326	-2.15252043	34.1349374	-2.15245738	34.1343316	-13.3383127	-77.4996852
13.6	-14.0122197	-80.1501901	-2.12084009	32.1118864	-2.12078519	32.1112238	-14.2068625	-80.3364059
13.62	-14.9804535	-83.2362116	-2.09631174	30.0618309	-2.09626609	30.061121	-15.1960257	-83.4203068
13.64	-16.0937564	-86.6552273	-2.07927599	27.98735	-2.07924042	27.9866035	-16.3362569	-86.8458668
13.66	-17.3926944	-90.5588558	-2.07004622	25.8912673	-2.0700213	25.8904956	-17.6710696	-90.773643
13.68	-18.9368795	-95.2200943	-2.06890342	23.7766345	-2.06888941	23.7758499	-19.2651333	-95.497084
13.7	-20.8169305	-101.176626	-2.07609126	21.646711	-2.07608811	21.6459259	-21.218124	-101.606179
13.72	-23.1705726	-109.618928	-2.09181156	19.5049361	-2.09181889	19.5041628	-23.6835267	-110.445774
13.74	-26.1623696	-123.574769	-2.11622036	17.3548974	-2.1162375	17.3541477	-26.8378809	-125.569722
13.76	-29.5023272	-150.961855	-2.14942478	15.2002939	-2.14945076	15.1995788	-30.2052901	-156.294855
13.78	-30.2472001	163.705547	-2.19148069	13.0448964	-2.19151426	13.0442259	-30.2248688	156.441654
13.8	-27.219873	129.776432	-2.24239138	10.8925049	-2.24243105	10.8918874	-26.8517923	125.476509
13.82	-24.0105291	112.762258	-2.30210723	8.74690514	-2.30215135	8.7463474	-23.6737534	110.242379
13.84	-21.4574743	103.05093	-2.37052652	6.61182538	-2.37057327	6.6113324	-21.1857824	101.352097
13.86	-19.4318625	96.4830802	-2.44749714	4.49089456	-2.4475446	4.49046936	-19.2122533	95.2117351
13.88	-17.7798581	91.4831948	-2.5328193	2.38760327	-2.53286552	2.38724688	-17.5990592	90.4631915
13.9	-16.3976503	87.3694193	-2.62624911	0.305268471	-2.62629214	0.30497991	-16.2460738	86.5114844
13.92	-15.2174206	83.8069318	-2.72750281	-1.75299714	-2.72754074	-1.75322077	-15.0883742	83.0609566
13.94	-14.1935715	80.6144032	-2.83626157	-3.78431043	-2.83629262	-3.78447385	-14.0823154	79.9499306
13.96	-13.2942906	77.6859758	-2.95217669	-5.78603754	-2.9521992	-5.78614711	-13.1973848	77.0833
13.98	-12.4965953	74.956119	-3.07487495	-7.75580766	-3.07488743	-7.75587121	-12.4114814	74.4018394
14	-11.7833636	72.38231	-3.20396407	-9.69152124	-3.20396523	-9.69154784	-11.7080952	71.866939
14.02	-11.1414912	69.935821	-3.33903856	-11.5913627	-3.33902735	-11.5913624	-11.0745579	69.4524156
14.04	-10.5607235	67.5966781	-3.47968338	-13.4537691	-3.47965896	-13.4537527	-10.5009325	67.1400165
14.06	-10.0328667	65.3504963	-3.62547993	-15.2774517	-3.62544171	-15.2774304	-9.97926118	64.9165602
14.08	-9.55126039	63.1866506	-3.77601006	-17.0613762	-3.7759577	-17.0613617	-9.50306239	62.7722881
14.1	-9.11040814	61.0970873	-3.93085993	-18.8047503	-3.93079332	-18.804754	-9.06697728	60.6997854
14.12	-8.70571338	59.0755459	-4.08962337	-20.5070074	-4.08954265	-20.5070408	-8.66651669	58.6932733
14.14	-8.33328717	57.1170388	-4.25190479	-22.1677898	-4.25181029	-22.1678638	-8.29787655	56.7481334
14.16	-7.98980556	55.2174951	-4.41732145	-23.7869302	-4.41721373	-23.7870553	-7.95780072	54.8605832
14.18	-7.67240189	53.3735141	-4.58550543	-25.364433	-4.58538521	-25.3646189	-7.6434773	53.0274495
14.2	-7.37858434	51.582191	-4.75610499	-26.9004555	-4.75597315	-26.9007112	-7.35245908	51.2460097
14.22	-7.10617177	49.8409935	-4.92878557	-28.3952895	-4.92864316	-28.3956229	-7.08260157	49.5138784
14.24	-6.85324324	48.1476727	-5.10323049	-29.8493435	-5.10307866	-29.8497616	-6.8320142	47.8289262
14.26	-6.61809776	46.5001983	-5.27914124	-31.2631257	-5.27898124	-31.2636345	-6.59902128	46.1892211
14.28	-6.39922179	44.8967123	-5.45623749	-32.6372287	-5.45607065	-32.6378331	-6.38213057	44.5929857
14.3	-6.19526283	43.335494	-5.63425694	-33.9723142	-5.63408466	-33.973018	-6.18000756	43.038566
14.32	-6.00500759	41.8149346	-5.81295493	-35.2691003	-5.81277863	-35.2699062	-5.99145432	41.5244092
14.34	-5.82736394	40.3335187	-5.9921039	-36.528349	-5.99192502	-36.5292587	-5.8153919	40.0490462
14.36	-5.66134578	38.8898102	-6.17149272	-37.7508554	-6.17131271	-37.7518694	-5.65084554	38.6110796
14.38	-5.50606019	37.4824415	-6.35092596	-38.9374382	-6.35074625	-38.938556	-5.49693222	37.2091747
14.4	-5.36069661	36.1101062	-6.53022308	-40.0889312	-6.53004508	-40.0901513	-5.35285001	35.8420522
14.42	-5.2245175	34.7715523	-6.70921758	-41.2061755	-6.70904265	-41.2074957	-5.217869	34.5084834
14.44	-5.09685033	33.4655782	-6.88775614	-42.2900138	-6.88758558	-42.2914308	-5.09132339	33.2072865
14.46	-4.97708065	32.1910286	-7.06569771	-43.3412844	-7.06553277	-43.3427941	-4.97260475	31.9373227
14.48	-4.86464604	30.9467921	-7.24291268	-44.3608167	-7.24275453	-44.3624142	-4.86115604	30.6974947
14.5	-4.7590308	29.7317981	-7.41928199	-45.3494274	-7.41913171	-45.3511071	-4.75646641	29.4867443
14.52	-4.65976135	28.5450155	-7.59469632	-46.3079171	-7.59455492	-46.309673	-4.65806668	28.3040508
14.54	-4.56640209	27.3854505	-7.76905528	-47.237068	-7.76892366	-47.2388933	-4.56552526	27.1484295
14.56	-4.47855182	26.2521455	-7.94226663	-48.1376417	-7.94214559	-48.1395291	-4.47844458	26.0189307
